>>> EXPECTED ANSWER:
('R2D0', 'C0PO', 'bedrock')
('R2D0', 'C0PO', 'brick')
('R2D0', 'C0PO', 'concrete')
('R2D0', 'C0PO', 'glass')
('R2D0', 'C0PO', 'gold')
('R2D0', 'C0PO', 'marble')
('R2D0', 'C0PO', 'obsidian')
('R2D0', 'C0PO', 'sandstone')
('R2D0', 'C0PO', 'stone')
('R2D0', 'C0PO', 'wood')
('R2D1', 'C1PO', 'bedrock')
('R2D1', 'C1PO', 'brick')
('R2D1', 'C1PO', 'glass')
('R2D1', 'C1PO', 'marble')
('R2D1', 'C1PO', 'obsidian')
('R2D1', 'C1PO', 'stone')
('R2D1', 'C1PO', 'wood')
('R2D10', 'C10PO', 'bedrock')
('R2D10', 'C10PO', 'brick')
('R2D10', 'C10PO', 'gold')
('R2D10', 'C10PO', 'marble')
('R2D10', 'C10PO', 'sandstone')
('R2D10', 'C10PO', 'stone')
('R2D10', 'C10PO', 'wood')
('R2D11', 'C11PO', 'bedrock')
('R2D11', 'C11PO', 'glass')
('R2D11', 'C11PO', 'gold')
('R2D11', 'C11PO', 'marble')
('R2D11', 'C11PO', 'obsidian')
('R2D11', 'C11PO', 'sandstone')
('R2D11', 'C11PO', 'wood')
('R2D12', 'C12PO', 'bedrock')
('R2D12', 'C12PO', 'brick')
('R2D12', 'C12PO', 'concrete')
('R2D12', 'C12PO', 'gold')
('R2D12', 'C12PO', 'marble')
('R2D12', 'C12PO', 'obsidian')
('R2D12', 'C12PO', 'wood')
('R2D13', 'C13PO', 'bedrock')
('R2D13', 'C13PO', 'brick')
('R2D13', 'C13PO', 'concrete')
('R2D13', 'C13PO', 'glass')
('R2D13', 'C13PO', 'gold')
('R2D13', 'C13PO', 'marble')
('R2D13', 'C13PO', 'obsidian')
('R2D13', 'C13PO', 'stone')
('R2D14', 'C14PO', 'bedrock')
('R2D14', 'C14PO', 'brick')
('R2D14', 'C14PO', 'obsidian')
('R2D14', 'C14PO', 'sandstone')
('R2D14', 'C14PO', 'stone')
('R2D14', 'C14PO', 'wood')
('R2D15', 'C15PO', 'bedrock')
('R2D15', 'C15PO', 'brick')
('R2D15', 'C15PO', 'concrete')
('R2D15', 'C15PO', 'glass')
('R2D15', 'C15PO', 'gold')
('R2D15', 'C15PO', 'marble')
('R2D15', 'C15PO', 'obsidian')
('R2D15', 'C15PO', 'sandstone')
('R2D15', 'C15PO', 'stone')
('R2D15', 'C15PO', 'wood')
('R2D16', 'C16PO', 'bedrock')
('R2D16', 'C16PO', 'brick')
('R2D16', 'C16PO', 'concrete')
('R2D16', 'C16PO', 'glass')
('R2D16', 'C16PO', 'gold')
('R2D16', 'C16PO', 'marble')
('R2D16', 'C16PO', 'obsidian')
('R2D16', 'C16PO', 'sandstone')
('R2D16', 'C16PO', 'stone')
('R2D16', 'C16PO', 'wood')
('R2D17', 'C17PO', 'bedrock')
('R2D17', 'C17PO', 'brick')
('R2D17', 'C17PO', 'concrete')
('R2D17', 'C17PO', 'obsidian')
('R2D17', 'C17PO', 'sandstone')
('R2D17', 'C17PO', 'wood')
('R2D18', 'C18PO', 'bedrock')
('R2D18', 'C18PO', 'brick')
('R2D18', 'C18PO', 'concrete')
('R2D18', 'C18PO', 'glass')
('R2D18', 'C18PO', 'gold')
('R2D18', 'C18PO', 'marble')
('R2D18', 'C18PO', 'sandstone')
('R2D18', 'C18PO', 'stone')
('R2D18', 'C18PO', 'wood')
('R2D19', 'C19PO', 'bedrock')
('R2D19', 'C19PO', 'brick')
('R2D19', 'C19PO', 'concrete')
('R2D19', 'C19PO', 'glass')
('R2D19', 'C19PO', 'gold')
('R2D19', 'C19PO', 'obsidian')
('R2D19', 'C19PO', 'sandstone')
('R2D19', 'C19PO', 'stone')
('R2D2', 'C2PO', 'bedrock')
('R2D2', 'C2PO', 'concrete')
('R2D2', 'C2PO', 'gold')
('R2D2', 'C2PO', 'obsidian')
('R2D2', 'C2PO', 'sandstone')
('R2D2', 'C2PO', 'stone')
('R2D20', 'C20PO', 'bedrock')
('R2D20', 'C20PO', 'brick')
('R2D20', 'C20PO', 'concrete')
('R2D20', 'C20PO', 'glass')
('R2D20', 'C20PO', 'gold')
('R2D20', 'C20PO', 'marble')
('R2D20', 'C20PO', 'obsidian')
('R2D20', 'C20PO', 'sandstone')
('R2D20', 'C20PO', 'stone')
('R2D20', 'C20PO', 'wood')
('R2D21', 'C21PO', 'bedrock')
('R2D21', 'C21PO', 'brick')
('R2D21', 'C21PO', 'concrete')
('R2D21', 'C21PO', 'glass')
('R2D21', 'C21PO', 'gold')
('R2D21', 'C21PO', 'marble')
('R2D21', 'C21PO', 'obsidian')
('R2D21', 'C21PO', 'sandstone')
('R2D21', 'C21PO', 'stone')
('R2D21', 'C21PO', 'wood')
('R2D22', 'C22PO', 'bedrock')
('R2D22', 'C22PO', 'concrete')
('R2D22', 'C22PO', 'glass')
('R2D22', 'C22PO', 'gold')
('R2D22', 'C22PO', 'marble')
('R2D22', 'C22PO', 'obsidian')
('R2D22', 'C22PO', 'sandstone')
('R2D22', 'C22PO', 'stone')
('R2D22', 'C22PO', 'wood')
('R2D23', 'C23PO', 'bedrock')
('R2D23', 'C23PO', 'brick')
('R2D23', 'C23PO', 'concrete')
('R2D23', 'C23PO', 'glass')
('R2D23', 'C23PO', 'gold')
('R2D23', 'C23PO', 'marble')
('R2D23', 'C23PO', 'obsidian')
('R2D23', 'C23PO', 'sandstone')
('R2D23', 'C23PO', 'stone')
('R2D23', 'C23PO', 'wood')
('R2D24', 'C24PO', 'bedrock')
('R2D24', 'C24PO', 'brick')
('R2D24', 'C24PO', 'glass')
('R2D24', 'C24PO', 'gold')
('R2D24', 'C24PO', 'marble')
('R2D24', 'C24PO', 'obsidian')
('R2D24', 'C24PO', 'sandstone')
('R2D25', 'C25PO', 'bedrock')
('R2D25', 'C25PO', 'brick')
('R2D25', 'C25PO', 'concrete')
('R2D25', 'C25PO', 'gold')
('R2D25', 'C25PO', 'marble')
('R2D25', 'C25PO', 'obsidian')
('R2D25', 'C25PO', 'sandstone')
('R2D25', 'C25PO', 'wood')
('R2D26', 'C26PO', 'bedrock')
('R2D26', 'C26PO', 'brick')
('R2D26', 'C26PO', 'concrete')
('R2D26', 'C26PO', 'glass')
('R2D26', 'C26PO', 'gold')
('R2D26', 'C26PO', 'marble')
('R2D26', 'C26PO', 'obsidian')
('R2D26', 'C26PO', 'sandstone')
('R2D26', 'C26PO', 'stone')
('R2D26', 'C26PO', 'wood')
('R2D27', 'C27PO', 'bedrock')
